id_question;model_name;qtype;question;references;gemini-pro;bleu;ref_len;resp_len;rouge_1;rouge_2;rouge_l;cosine_sim;bert_score_f1;bert_score_r;bert_score_p
11;gemini-pro;information;What is (are) Aphasia ?;Aphasia is a disorder caused by damage to the parts of the brain that control language. It can make it hard for you to read, write, and say what you mean to say. It is most common in adults who have had a stroke. Brain tumors, infections, injuries, and dementia can also cause it. The type of problem you have and how bad it is depends on which part of your brain is damaged and how much damage there is.     There are four main types:       -  Expressive aphasia - you know what you want to say, but you have trouble saying or writing what you mean     -  Receptive aphasia - you hear the voice or see the print, but you can't make sense of the words     -  Anomic aphasia - you have trouble using the correct word for objects, places, or events     -  Global aphasia - you can't speak, understand speech, read, or write        Some people recover from aphasia without treatment. Most, however, need language therapy as soon as possible.     NIH: National Institute of Neurological Disorders and Stroke;;0.0;161.0;1.0;0.0;0.0;0.0;0.065;-0.369;-0.55;-0.176
12;gemini-pro;genetic changes;What are the genetic changes related to glucose-6-phosphate dehydrogenase deficiency ?;Mutations in the G6PD gene cause glucose-6-phosphate dehydrogenase deficiency.  The G6PD gene provides instructions for making an enzyme called glucose-6-phosphate dehydrogenase. This enzyme is involved in the normal processing of carbohydrates. It also protects red blood cells from the effects of potentially harmful molecules called reactive oxygen species. Reactive oxygen species are byproducts of normal cellular functions. Chemical reactions involving glucose-6-phosphate dehydrogenase produce compounds that prevent reactive oxygen species from building up to toxic levels within red blood cells.  If mutations in the G6PD gene reduce the amount of glucose-6-phosphate dehydrogenase or alter its structure, this enzyme can no longer play its protective role. As a result, reactive oxygen species can accumulate and damage red blood cells. Factors such as infections, certain drugs, or ingesting fava beans can increase the levels of reactive oxygen species, causing red blood cells to be destroyed faster than the body can replace them. A reduction in the amount of red blood cells causes the signs and symptoms of hemolytic anemia.  Researchers believe that carriers of a G6PD mutation may be partially protected against malaria, an infectious disease carried by a certain type of mosquito. A reduction in the amount of functional glucose-6-dehydrogenase appears to make it more difficult for this parasite to invade red blood cells. Glucose-6-phosphate dehydrogenase deficiency occurs most frequently in areas of the world where malaria is common.;;0.0;208.0;1.0;0.0;0.0;0.0;-0.039;-0.465;-0.718;-0.185
13;gemini-pro;treatment;What are the treatments for Diverticular Disease ?;"Diverticulitis can attack suddenly and cause complications, such as
                
- an abscessa painful, swollen, pus-filled area just outside the colon wallcaused by infection  - a perforationa small tear or hole in the diverticula  - peritonitisinflammation of tissues inside the abdomen from pus and stool that leak through a perforation  - a fistulaan abnormal passage, or tunnel, between two organs, or between an organ and the outside of the body  - intestinal obstructionpartial or total blockage of movement of food or stool through the intestines
                
These complications need to be treated to prevent them from getting worse and causing serious illness. In some cases, surgery may be needed.
                
Abscess, perforation, and peritonitis. Antibiotic treatment of diverticulitis usually prevents or treats an abscess. If the abscess is large or does not clear up with antibiotics, it may need to be drained. After giving the person numbing medication, a radiologist inserts a needle through the skin to the abscess and then drains the fluid through a catheter. The procedure is usually guided by an abdominal ultrasound or a CT scan. Ultrasound uses a device, called a transducer, that bounces safe, painless sound waves off organs to create an image of their structure.
                
A person with a perforation usually needs surgery to repair the tear or hole. Sometimes, a person needs surgery to remove a small part of the intestine if the perforation cannot be repaired.
                
A person with peritonitis may be extremely ill, with nausea, vomiting, fever, and severe abdominal tenderness. This condition requires immediate surgery to clean the abdominal cavity and possibly a colon resection at a later date after a course of antibiotics. A blood transfusion may be needed if the person has lost a significant amount of blood. Without prompt treatment, peritonitis can be fatal.
                
Fistula. Diverticulitis-related infection may lead to one or more fistulas. Fistulas usually form between the colon and the bladder, small intestine, or skin. The most common type of fistula occurs between the colon and the bladder. Fistulas can be corrected with a colon resection and removal of the fistula.
                
Intestinal obstruction. Diverticulitis-related inflammation or scarring caused by past inflammation may lead to intestinal obstruction. If the intestine is completely blocked, emergency surgery is necessary, with possible colon resection. Partial blockage is not an emergency, so the surgery or other procedures to correct it can be scheduled.
                
When urgent surgery with colon resection is necessary for diverticulitis, two procedures may be needed because it is not safe to rejoin the colon right away. During the colon resection, the surgeon performs a temporary colostomy, creating an opening, or stoma, in the abdomen. The end of the colon is connected to the opening to allow normal eating while healing occurs. Stool is collected in a pouch attached to the stoma on the abdominal wall. In the second surgery, several months later, the surgeon rejoins the ends of the colon and closes the stoma.";;0.0;412.0;1.0;0.0;0.0;0.0;-0.049;-0.503;-0.764;-0.213
14;gemini-pro;information;What is (are) Gilbert syndrome ?;Gilbert syndrome is a common, mild liver disorder in which the liver doesn't properly process bilirubin, a substance produced by the breakdown of red blood cells. Gilbert syndrome typically doesn't require treatment or pose serious complications. In fact, Gilbert syndrome is usually not considered a disease because of its benign nature. Many individuals find out they have the disorder by accident, when they have a blood test that shows elevated bilirubin levels. More males than females have been diagnosed with Gilbert syndrome. This condition is caused by mutations in the UGT1A1 gene and is inherited in an autosomal recessive pattern.;;0.0;91.0;1.0;0.0;0.0;0.0;-0.065;-0.368;-0.538;-0.19
15;gemini-pro;inheritance;Is Nonspherocytic hemolytic anemia due to hexokinase deficiency inherited ?;How is nonspherocytic hemolytic anemia due to hexokinase deficiency inherited? Nonspherocytic hemolytic anemia due to hexokinase deficiency is inherited in an autosomal recessive manner. This means that a mutation in both copies of the gene associated with the condition must be present in order to be affected. The parents of an individual with an autosomal recessive condition each have one mutated copy of the gene in each cell and are referred to as carriers. Carriers typically do not have any signs or symptoms of the condition. When two carriers of the same autosomal recessive condition have children, each child has a 25% (1 in 4) risk to be affected, a 50% (1 in 2) risk to be an unaffected carrier like each parent, and a 25% risk to be unaffected and have 2 normal copies of the gene.;;0.0;123.0;1.0;0.0;0.0;0.0;0.074;-0.346;-0.637;-0.018
16;gemini-pro;frequency;How many people are affected by Huntington disease ?;Huntington disease affects an estimated 3 to 7 per 100,000 people of European ancestry. The disorder appears to be less common in some other populations, including people of Japanese, Chinese, and African descent.;;0.0;31.0;1.0;0.0;0.0;0.0;0.115;-0.345;-0.516;-0.164
17;gemini-pro;inheritance;Is Erythropoietic protoporphyria inherited ?;How is erythropoietic protoporphyria (EPP) inherited? EPP is inherited in an autosomal recessive manner. In most cases, affected individuals have one severe (loss-of-function) mutation that is inherited from one parent, and another weak (low-expression) mutation that is inherited from the other parent. In a small number of cases, an affected individual has two loss-of-function mutations. When 2 carriers of an autosomal recessive condition have children, each child has a: 25% (1 in 4) chance to be affected 50% (1 in 2) chance to be an unaffected carrier like each parent 25% (1 in 4) chance to be unaffected and not be a carrier;;0.0;95.0;1.0;0.0;0.0;0.0;-0.055;-0.347;-0.621;-0.042
18;gemini-pro;inheritance;Is Hydrocephalus due to congenital stenosis of aqueduct of sylvius inherited ?;"Is hydrocephalus due to congenital stenosis of aqueduct of sylvius inherited? Hydrocephalus due to congenital stenosis of aqueduct of sylvius is inherited in an X-linked recessive manner. A condition is X-linked if the responsible gene is located on the X chromosome. The X chromosome is one of the two sex chromosomes (the other sex chromosome is the Y chromosome). Females have two X chromosomes in each cell and males have an X chromosome and a Y chromosome in each cell. Although females have two X chromosomes, one of the X chromosomes in each cell is ""turned off"" and all of the genes on that chromosome are inactivated. Females who have a change (mutation) in a gene on one of their X chromosomes are called carriers of the related condition. Carrier females usually do not have symptoms of the condition because the X chromosome with the mutated gene is often turned off and they have another X chromosome with a working copy of the gene. Sometimes, the X chromosome with the working copy of the gene is turned off, which may cause symptoms of the condition. However, females with symptoms are usually much more mildly affected than males. A male has only one X chromosome, so if he inherits a mutation on the X chromosome, he will have signs and symptoms (be affected). Males with an X-linked recessive condition always pass the mutated gene to all of their daughters, who will be carriers. A male cannot pass an X-linked gene to his sons because males always pass their Y chromosome to male offspring. Female carriers of an X-linked recessive condition have a 25% chance with each pregnancy to have a carrier daughter like themselves, a 25% chance to have a non-carrier daughter, a 25% chance to have an affected son, and a 25% chance to have an unaffected son. This also means that each daughter of a carrier mother has a 50% chance of being a carrier, and each son has a 50% chance of having the condition.";;0.0;292.0;1.0;0.0;0.0;0.0;0.034;-0.403;-0.701;-0.066
19;gemini-pro;treatment;What are the treatments for Pneumonia ?;"Treatment for pneumonia depends on the type of pneumonia you have and how severe it is. Most people who have community-acquired pneumoniathe most common type of pneumoniaare treated at home.
                
The goals of treatment are to cure the infection and prevent complications.
                
General Treatment
                
If you have pneumonia, follow your treatment plan, take all medicines as prescribed, and get ongoing medical care. Ask your doctor when you should schedule followup care. Your doctor may want you to have a chest x ray to make sure the pneumonia is gone.
                
Although you may start feeling better after a few days or weeks, fatigue (tiredness) can persist for up to a month or more. People who are treated in the hospital may need at least 3 weeks before they can go back to their normal routines.
                
Bacterial Pneumonia
                
Bacterial pneumonia is treated with medicines called antibiotics. You should take antibiotics as your doctor prescribes. You may start to feel better before you finish the medicine, but you should continue taking it as prescribed. If you stop too soon, the pneumonia may come back.
                
Most people begin to improve after 1 to 3 days of antibiotic treatment. This means that they should feel better and have fewer symptoms, such as cough and fever.
                
Viral Pneumonia
                
Antibiotics don't work when the cause of pneumonia is a virus. If you have viral pneumonia, your doctor may prescribe an antiviral medicine to treat it.
                
Viral pneumonia usually improves in 1 to 3 weeks.
                
Treating Severe Symptoms
                
You may need to be treated in a hospital if:
                
Your symptoms are severe
                
You're at risk for complications because of other health problems
                
If the level of oxygen in your bloodstream is low, you may receive oxygen therapy. If you have bacterial pneumonia, your doctor may give you antibiotics through an intravenous (IV) line inserted into a vein.";;0.0;292.0;1.0;0.0;0.0;0.0;-0.082;-0.433;-0.66;-0.186
20;gemini-pro;information;Do you have information about Inhalants;Summary : If you're a parent, you may fear that your kids will use drugs such as marijuana or LSD. But you may not realize the dangers of substances in your own home. Household products such as glues, hair sprays, paints and lighter fluid can be drugs for kids in search of a quick high. Many young people inhale vapors from these, not knowing that it can cause serious health problems.    Both parents and kids need to know the dangers. Even inhaling once can disrupt heart rhythms and lower oxygen levels. Either of these can cause death. Regular abuse can result in serious harm to the brain, heart, kidneys, and liver.     NIH: National Institute on Drug Abuse;;0.0;111.0;1.0;0.0;0.0;0.0;0.016;-0.239;-0.457;-0.004
21;gemini-pro;symptoms;What are the symptoms of Chromosome 4q deletion ?;What are the signs and symptoms of chromosome 4q deletion? The signs and symptoms of chromosome 4q deletion vary significantly depending on the size and location of the deletion and which genes are involved. Common features that may be shared by affected people include: Distinctive craniofacial features such as a depressed nasal bridge, cleft lip/palate, and micrognathia Skeletal abnormalities including hip dysplasia and malformations of the fingers, toes, or limbs (arms/legs) Heart defects and/or arrhythmias Hypotonia (reduced muscle tone) Seizures Short stature Developmental delay Intellectual disability Metabolic disorders Gastrointestinal problems Kidney abnormalities;Chromosome 4q deletion syndrome is a rare genetic disorder characterized by a deletion of a segment of the long arm (q) of chromosome 4. Symptoms can vary depending on the size and location of the deletion, but common features may include intellectual disability, short stature, distinctive facial features such as a broad nasal bridge and down-slanting palpebral fissures, heart defects, kidney abnormalities, and skeletal anomalies such as scoliosis and joint contractures. Additionally, affected individuals may experience immune system dysfunction, feeding difficulties, and delayed development of speech and language skills.;0.142;86.0;82.0;0.459;0.214;0.341;0.891;0.163;0.123;0.2
22;gemini-pro;treatment;What are the treatments for Schwannomatosis ?;How might schwannomatosis be treated? Treatment for schwannomatosis is based on the signs and symptoms present in each person. For example, pain is one of the most common symptoms of the condition. Treatment with medications such as gabapentin or pregabalin and the use of short-acting opioids and/or nonsteroidal anti-inflammatories for pain can be successful for many patients. If pain cannot be managed with other means or if the schwannomas are causing other symptoms, they can be surgically removed. However this treatment is often used as a last resort because surgery may put patients at risk of further neurologic problems.;Schwannomatosis, a rare genetic condition characterized by multiple schwannomas, benign nerve sheath tumors, affecting various nerves throughout the body, presents several treatment options. Surgery remains the primary intervention for symptomatic schwannomas causing pain, neurological deficits, or functional impairment. Microsurgical techniques aim to remove the tumor while preserving nerve function. Radiation therapy, such as stereotactic radiosurgery or fractionated radiotherapy, may be considered for inoperable or recurrent tumors to shrink their size and alleviate symptoms. Medications like nonsteroidal anti-inflammatory drugs (NSAIDs) or opioids may help manage pain. Novel targeted therapies, including drugs inhibiting specific molecular pathways involved in schwannoma growth and proliferation, are being investigated in clinical trials. Regular monitoring and surveillance are essential to detect and address new or growing tumors. Genetic counseling and support groups can provide guidance and emotional support to individuals and families affected by Schwannomatosis.;0.01;93.0;134.0;0.241;0.009;0.115;0.755;0.037;0.056;0.016
23;gemini-pro;symptoms;What are the symptoms of Westphal disease ?;What are the signs and symptoms of Westphal disease? The Human Phenotype Ontology provides the following list of signs and symptoms for Westphal disease. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of movement 50% Abnormality of the voice 50% Behavioral abnormality 50% Cerebral cortical atrophy 50% Developmental regression 50% EEG abnormality 50% Hypertonia 50% Rigidity 7.5% Abnormality of eye movement - Autosomal dominant inheritance - Bradykinesia - Chorea - Dementia - Depression - Gliosis - Hyperreflexia - Neuronal loss in central nervous system - Personality changes - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.;Westphal disease, also known as progressive supranuclear palsy, is a rare neurological disorder that affects movement, balance, and eye control. Symptoms typically appear gradually and worsen over time. Common symptoms include difficulty with balance and coordination, slowness of movement, stiffness in the muscles, difficulty with speech and swallowing, problems with eye movements, and changes in personality and behavior. In some cases, people with Westphal disease may also experience cognitive impairment, such as difficulty with memory and attention.;0.003;241.0;75.0;0.214;0.028;0.128;0.691;-0.171;-0.31;-0.027
24;gemini-pro;information;What is (are) Arachnoid Cysts ?;"Arachnoid cysts are cerebrospinal fluid-filled sacs that are located between the brain or spinal cord and the arachnoid membrane, one of the three membranes that cover the brain and spinal cord. Primary arachnoid cysts are present at birth and are the result of developmental abnormalities in the brain and spinal cord that arise during the early weeks of gestation. Secondary arachnoid cysts are not as common as primary cysts and develop as a result of head injury, meningitis, or tumors, or as a complication of brain surgery. The majority of arachnoid cysts form outside the temporal lobe of the brain in an area of the skull known as the middle cranial fossa. Arachnoid cysts involving the spinal cord are rarer. The location and size of the cyst determine the symptoms and when those symptoms begin. Most individuals with arachnoid cysts develop symptoms before the age of 20, and especially during the first year of life, but some people with arachnoid cysts never have symptoms. Males are four times more likely to have arachnoid cysts than females.
                
Typical symptoms of an arachnoid cyst around the brain include headache, nausea and vomiting, seizures, hearing and visual disturbances, vertigo, and difficulties with balance and walking. Arachnoid cysts around the spinal cord compress the spinal cord or nerve roots and cause symptoms such as progressive back and leg pain and tingling or numbness in the legs or arms. Diagnosis usually involves a brain scan or spine scan using diffusion-weighted MRI (magnetic resonance imaging) which helps distinguish fluid-filled arachnoid cysts from other types of cysts.";Arachnoid cysts are fluid-filled sacs that develop between the arachnoid mater and pia mater, the two innermost layers of the meninges, the protective membranes surrounding the brain and spinal cord. They can occur anywhere in the central nervous system, but are most commonly found in the middle cranial fossa, a region at the base of the skull. Arachnoid cysts are usually congenital, meaning they are present at birth, but they can also develop later in life due to trauma, infection, or bleeding. Most arachnoid cysts are asymptomatic, but some can cause symptoms such as headaches, seizures, cognitive problems, and visual disturbances. Treatment for arachnoid cysts typically involves surgical removal or aspiration of the fluid, but observation may be recommended for asymptomatic cysts.;0.045;233.0;111.0;0.351;0.121;0.246;0.87;0.224;0.161;0.287
25;gemini-pro;treatment;What are the treatments for Learning Disabilities ?;The most common treatment for learning disabilities is special education. Specially trained educators may perform a diagnostic educational evaluation assessing the child's academic and intellectual potential and level of academic performance. Once the evaluation is complete, the basic approach is to teach learning skills by building on the child's abilities and strengths while correcting and compensating for disabilities and weaknesses. Other professionals such as speech and language therapists also may be involved. Some medications may be effective in helping the child learn by enhancing attention and concentration. Psychological therapies may also be used.;"Treatment for learning disabilities typically involves a multidisciplinary approach, involving collaboration among various professionals such as special education teachers, psychologists, occupational therapists, speech therapists, and medical professionals. Specific treatments may include:

- **Individualized Education Programs (IEPs)**: These are tailored plans that outline specific accommodations and support services for students with learning disabilities in school settings.

- **Remedial Education**: This involves providing specialized instruction and support to help individuals with learning disabilities overcome specific academic challenges and improve their skills in areas such as reading, writing, and math.

- **Assistive Technology**: The use of technology can provide support and accommodations for individuals with learning disabilities, such as assistive listening devices, computer-aided instruction, speech-to-text software, and adaptive software.

- **Behavioral and Social Skills Training**: This can help individuals with learning disabilities develop coping strategies, self-regulation skills, and appropriate social behaviors to navigate challenges in their daily lives.

- **Speech and Language Therapy**: This can address difficulties with communication, articulation, and language comprehension.

- **Occupational Therapy**: This can assist with fine motor skills, sensory processing issues, and daily living skills.

- **Medication**: In some cases, medication may be prescribed to address co-occurring conditions such as attention deficit hyperactivity disorder (ADHD) or anxiety, which can impact an individual's ability to learn.";0.03;86.0;197.0;0.261;0.069;0.185;0.752;0.021;0.113;-0.071
